disease_id,disease,n_cases,signature_herbs,signature_symptoms
Disease_daf3f652b8,淋,1,佩兰叶、冬瓜皮、山栀、川萆薢、桑枝、清宁丸,便不畅、口腻、夜少寐、胃钝、腹微痛
Disease_70ee837a0c,湿温兼寒,1,前胡、卷川朴、姜半夏、广郁金、枳壳、瓜蒌仁,发痉、头痛、形寒、气急、胸闷
Disease_2e61acb417,湿温化燥,1,元明粉、广郁金、活水芦笋、灯芯、玳瑁、瓜蒌仁,便闭三日、咳痰不出、昏厥不语、胸腹灼热、舌短不能伸
Disease_3cbbe516d4,湿温化疟,1,姜半夏、川桂枝、左秦艽、新会皮、浙茯苓、滑石,口淡而腻、胃钝、胸闷
Disease_48165ffedf,湿滞中下两焦,1,冬瓜子、大豆卷、川桂枝、新会皮、杜藿梗、枳壳,两腿重痛、口腻、胃钝
Disease_b100ced7e8,湿火下注肾茎头痛,1,佛手片、冬瓜子、冬葵子、川萆薢、汉木通、汉防己,便不畅、口淡、头痛、小便黄热、胃钝
Disease_93d611f585,湿火夹食,1,佩兰叶、冬桑叶、冬瓜皮子、广郁金、枳实、桑枝,便不畅、便闭、口苦、胃钝、胸闷
Disease_d6318d170f,湿火生疮,1,佛手片、佩兰叶、夏枯草、大青、天葵子、广郁金,便如红酱、口腻、溺短热、胃钝
Disease_a45db40c0f,湿热上蒸,1,佩兰叶、冬桑叶、广郁金、枳实、滁菊花、瓜蒌仁,便闭、气逆、溺热、胸闷、腹痛
Disease_18eef643de,湿热下注走浊,1,丝瓜络、二妙丸、地肤子、川柏、川萆薢、春砂壳,小便赤热、肢懈无力、走浊色白带红
Disease_5aab89c716,湿热串络筋痛,1,宽筋草、广橘络、打延胡、明乳香、桑枝、滑石,手足筋脉串痛、肢懈无力
Disease_051063ee80,湿热入络,1,丝瓜络、大腹绒、宽筋草、杜藿梗、米仁、络石藤,口淡、四肢软懈、肩背串痛、胃钝
Disease_1a90565697,湿热兼外感,1,佛手片、卷川朴、山栀、左金丸、枳实、滑石,头身痛、寒热、气逆作呕
Disease_6f8cba8613,湿热兼寒,1,新会皮、杜藿香、桂枝尖、浙苓皮、白芷、羌活,头痛、怕风、手足微冷
Disease_feac69a120,湿热兼脑风,1,二妙丸、川楝子、明天麻、桑芽、桑麻丸、滁菊花,脑筋刺痛、鼻略塞
Disease_504540c480,湿热内滞,1,广郁金、枳壳、滑石、猪苓、甘松、竹叶,便溏畅、口燥、溺短热、胃钝、胸腹满
Disease_50ea24bcf7,湿热咳痰带血,1,冬桑叶、十灰丸、安南子、山栀、广郁金、滑石,咳痰带血、心或时跳、溺黄热
Disease_5f79702821,湿热头痛,1,山栀、广郁金、枳壳、浙苓皮、竹叶、苏叶梗,口腻、头痛、肢懈、胃钝、胸闷
Disease_c19aa9fe90,湿热夹痧,1,代代花、佛手片、广郁金、杜藿梗、泽兰、滑石,口腻、肢懈、胃钝、胸闷
Disease_3e23f91e68,湿热夹肝胃气,1,佩兰叶、山栀、打延胡、明乳香、杜藿梗、楂肉,肢懈、胃钝、背脘串痛
Disease_16607565a6,湿热夹食腹痛,1,佛手片、打鸡金、新会皮、杜藿梗、条芩炭、滑石,便泄而热、大腹缓痛、溺黄热
Disease_0e6023fae5,湿热疟,1,半贝丸、常山、新会皮、海南子、滑石、竹茹,口腻、胃钝
Disease_ff4835162f,湿热瘾疹,1,丝通、冬桑叶、冬瓜皮、前胡、扁豆衣、新会皮,乍寒乍热、溺热、皮肤怪痒、身发瘾疹、面浮
Disease_ae99e5c9f3,湿热积滞受凉,1,佛手片、冬瓜子、延胡、新会皮、明乳香、春砂仁,口淡无味、口淡腻、肢懈、胃钝、腹微痛
Disease_86a9ea48e8,湿热肝气胸闷呕酸,1,东白薇、广郁金、明天麻、木蝴蝶、枳实、池菊花,便不畅、口干、口淡、呕酸、头晕
Disease_c8d30864ab,湿热肝风筋挛,1,佛手片、佩兰叶、冬桑叶、新会白、明天麻、杜藿梗,便不畅、内热、口淡、口腻、头微晕
Disease_9bde958a04,湿热胃痛,1,佛手片、冬桑叶、广郁金、延胡、新会白、明乳香,干呕、胃疼、腹痛、里急后重
Disease_8870f9381f,湿热脚气肿痛,1,丝瓜络、二妙丸、光杏仁、前胡、宽筋草、山栀,脚筋拘挛、足步履维艰
Disease_0ee392e906,湿热身痛,1,冬瓜子、冬葵子、山栀、滑石、瓜蒌皮、秦艽,便不畅、小便似淋非淋、肢懈、身痛
Disease_266711ea99,湿疟,1,乌梅炭、乌梅肉、于术、佛手、地骷髅、小京枣,便溏、口渴、寒热、溺热、溺白
Disease_f38ec544d2,湿阻吐泻,1,代赭石、佛手片、佩兰叶、川连、新会皮、旋覆花,呕吐频频、大便水泻、头晕而重、溺短少、胸脘痞塞
Disease_a9e8f7ff36,湿阻咳逆,1,丝瓜络、代赭石、旋覆花、桑枝、滑石、牛蒡子,一身筋骨串痛、口淡、咳逆、喘不得卧、溺热
Disease_54d5858ba1,湿阻夹痰,1,带壳春砂、带皮茯苓、广木香、打延胡、明乳香、甘松,咳嗽、夜少寐、水泻、痰多、肠鸣
Disease_69afcf5984,湿阻气郁,1,宽筋草、旋覆花、络石藤、香附,梦遗、牙痛、目燥、腰痛
Disease_c5fef75b27,湿阻肺胃寒热,1,光杏仁、山栀、滑石、肥知母、苏叶梗、苏梗通,便如红酱、咳痰渐爽、寒热、胃钝
Disease_145b7ef488,湿阻胸痞,1,丝通草、佩兰叶、冬瓜子、广郁金、新会皮、枳实,便不畅、呕酸、胸痞
Disease_871fb15491,湿阻腿痛,1,丝瓜络、佩兰叶、新会白、桑枝、汉防己、滑石,便泄腹痛、口腻、右腿重痛、嗳气、筋痛
Disease_0a0d72af36,湿阻食积,1,佛手片、冬瓜子、枳实、桑枝、滑石、瓜蒌仁,吐涎、嗳气、头晕、肢懈
Disease_2f56f8b191,溺白,1,天花粉、寒水石、川柏、川楝子、左牡蛎、当归龙荟丸,溺白甚多、胃口太开
Disease_6bc7c0c524,溺血,1,丝瓜络、冬瓜子、冬葵子、大蓟、小蓟、山栀,口发燥、口淡无味、溺血带紫
Disease_a36c14e82c,热剧生风,1,冬桑叶、双钩藤、山栀、明天麻、桑芽、滑石,口燥、啼叫不出、弄舌、手足挚瘛、手足瘛疭
Disease_0e8de9a508,热毒内蕴上腭连喉肿痛,1,京川贝、天葵子、桑皮、海蛤壳、瓜蒌仁、甘蔗,上腭连喉肿痛、两鼻并塞、便下溏热、口不能张大、右鼻时塞
Disease_c4921d49a0,热痧,1,佛手片、佩兰叶、新会皮、杜藿梗、滑石、竹叶,上吐、下泄、泻赤热、溺热色黄
Disease_66af5361a7,热盛手痉,1,佛手片、冬桑叶、山栀、左金丸、广郁金、滑石,手痉、谵语
Disease_a4c5d8ff98,热结膀胱,1,桑皮、汉木通、瓜蒌皮、蝼蛄,便泄、便闭三日、口苦、小便点滴而来、既痛且热
Disease_b938f11a89,热霍乱,1,山栀、杜藿梗、浙茯苓、滑石、竹茹、红灵丹,上吐黄水而酸、下则水泻而热、溺热点滴、腹甚痛
Disease_e9b31955d2,疟母,1,京三棱、佛手片、地蛄蝼、干蟾皮、打鸡金、春砂仁,口腻、溺赤热、胃钝、腹大而坚
